Page,ETS(clicks)
Ashley_Graham_(model)_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Ashley_Judd_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Ashley_Olsen_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Ashoka_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Ashton_Kutcher_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,A)>"
Ashton_Kutcher_en.wikipedia.org_mobile-web_all-agents,"<ETS(A,N,N)>"
Asperger_syndrome_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Asperger_syndrome_en.wikipedia.org_mobile-web_all-agents,"<ETS(A,N,N)>"
Asperger-Syndrom_de.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Assassin's_Creed_(film)_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Assassin's_Creed_(film)_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Assassin’s_Creed_(серия_игр)_ru.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
Assassin’s_Creed_(серия_игр)_ru.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Assassin's_Creed_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Assassin's_Creed_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Assassination_of_John_F._Kennedy_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Atentados_del_11_de_septiembre_de_2001_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,N)>"
Atlético_Madrid_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Atletismo_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Atletismo_es.wikipedia.org_desktop_all-agents,"<ETS(M,A,A)>"
Atmospheric_pressure_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,N)>"
Atomic_bombings_of_Hiroshima_and_Nagasaki_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Atomic_bombings_of_Hiroshima_and_Nagasaki_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,N)>"
Átomo_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Attack_on_Pearl_Harbor_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Attack_on_Pearl_Harbor_en.wikipedia.org_mobile-web_all-agents,"<ETS(A,N,N)>"
Attack_on_Titan_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Atticus_Shaffer_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
